,title,runtime,genres,rating,director,producer,cinematographer,writer,budget,domestic,foreign,worldwide,ROI,year,genre_list,Crime,Romance,Mystery,Horror,Action,Western,Sci-Fi,History,Adventure,Thriller,Drama,Fantasy,Biography,Sport,Music,War,Animation,Family,Documentary,Musical,Comedy
88,Man on a Ledge,102.0,"Action,Adventure,Crime",6.6,Asger Leth,Lorenzo di Bonaventura,Paul Cameron,Pablo F. Fenjves,42000000,18620000,31001440,49621440,18.146285714285714,2012,"['Action', 'Adventure', 'Crime']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,A Dangerous Method,99.0,"Biography,Drama,Romance",6.4,David Cronenberg,Jeremy Thomas,Peter Suschitzky,Christopher Hampton,20000000,5702083,9105448,14807531,-25.962345,2011,"['Biography', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
90,The Dilemma,111.0,"Comedy,Drama",5.3,Ron Howard,Brian Grazer,Salvatore Totino,Allan Loeb,70000000,48475290,22071575,70546865,0.7812357142857143,2011,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
91,Safe House,115.0,"Action,Adventure,Crime",6.8,Daniel Espinosa,Scott Stuber,Oliver Wood,David Guggenheim,85000000,126181630,82360532,208542162,145.34372,2012,"['Action', 'Adventure', 'Crime']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Prom,104.0,"Comedy,Drama,Family",5.4,Joe Nussbaum,Ted Griffin,Byron Shah,Katie Wech,8000000,10130219,632964,10763183,34.5397875,2011,"['Comedy', 'Drama', 'Family']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
93,Abraham Lincoln: Vampire Hunter,105.0,"Action,Fantasy,Horror",5.9,Timur Bekmambetov,Tim Burton,Caleb Deschanel,Seth Grahame-Smith,67500000,37519139,99970591,137489730,103.68848888888888,2012,"['Action', 'Fantasy', 'Horror']",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,J. Edgar,137.0,"Biography,Crime,Drama",6.6,Clint Eastwood,Robert Lorenz,Tom Stern,Dustin Lance Black,35000000,37306030,47300000,84606030,141.7315142857143,2011,"['Biography', 'Crime', 'Drama']",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
95,Blackthorn,102.0,"Action,Adventure,Western",6.6,Mateo Gil,Ibon Cormenzana,Juan Ruiz Anchía,Miguel Barros,4500000,200558,1016749,1217307,-72.94873333333334,2011,"['Action', 'Adventure', 'Western']",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,Enter Nowhere,90.0,"Mystery,Sci-Fi,Thriller",6.6,Jack Heller,Dallas Sonnier,Tom Harting,Shawn Christensen,500000,0,0,0,-100.0,2012,"['Mystery', 'Sci-Fi', 'Thriller']",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,Project X,88.0,Comedy,6.7,Nima Nourizadeh,Todd Phillips,Ken Seng,Michael Bacall,12000000,54731865,48296323,103028188,758.5682333333334,2012,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,Inside Out,93.0,"Crime,Drama",4.6,Artie Mandelberg,Michael Pavone,Kenneth Zunder,Dylan Schaffer,175000000,356461711,497774281,854235992,388.1348525714286,2015,"['Crime', 'Drama']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,Inside Job,109.0,"Crime,Documentary",8.3,Charles Ferguson,Audrey Marrs,Svetlana Cvetko,Chad Beck,2000000,4311834,3487423,7799257,289.96285,2010,"['Crime', 'Documentary']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,How to Train Your Dragon 2,102.0,"Action,Adventure,Animation",7.8,Dean DeBlois,Bonnie Arnold,Gil Zimmerman,Cressida Cowell,145000000,177002924,437583346,614586270,323.8526,2014,"['Action', 'Adventure', 'Animation']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
101,Here Comes the Boom,105.0,"Action,Comedy,Sport",6.4,Frank Coraci,Todd Garner,Phil Meheux,Allan Loeb,42000000,45290318,27948940,73239258,74.37918571428571,2012,"['Action', 'Comedy', 'Sport']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
102,Wanderlust,98.0,"Comedy,Romance",5.6,David Wain,Judd Apatow,Michael Bonvillain,Ken Marino,32500000,17288155,6871779,24159934,-25.66174153846154,2012,"['Comedy', 'Romance']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,Polisse,127.0,"Crime,Drama",7.3,Maïwenn,Alain Attal,Pierre Aïm,Emmanuelle Bercot,8900000,176988,22567144,22744132,155.55204494382022,2012,"['Crime', 'Drama']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,Christmas Mail,89.0,"Comedy,Drama,Family",5.8,John Murlowski,Tom Shell,Justin Duval,Steven Palmer Peterson,2500000,0,0,0,-100.0,2010,"['Comedy', 'Drama', 'Family']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
105,Elle s'appelait Sarah,111.0,"Drama,War",7.5,Gilles Paquet-Brenner,Stéphane Marsil,Pascal Ridao,Tatiana De Rosnay,14500000,7691700,17788331,25480031,75.72435172413793,2011,"['Drama', 'War']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
106,Entourage,104.0,Comedy,6.6,Doug Ellin,Stephen Levinson,Steven Fierberg,Rob Weiss,30000000,32363404,14075134,46438538,54.79512666666667,2015,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,My Last Day Without You,90.0,"Comedy,Drama,Romance",5.7,Stefan C. Schaefer,Diane Crespo,Dan Hersey,Chris Silber,1000000,0,0,0,-100.0,2013,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
108,High Road,87.0,Comedy,5.4,Matt Walsh,Kirk Roos,Hillary Spera,Josh Weiner,546173,0,0,0,-100.0,2012,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,Carnage,80.0,"Comedy,Drama",7.2,Roman Polanski,Saïd Ben Saïd,Pawel Edelman,Yasmina Reza,25000000,2546747,35565407,38112154,52.448616,2011,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
110,Genius,104.0,"Biography,Drama",6.6,Michael Grandage,James Bierman,Ben Davis,John Logan,17000000,1361045,5904238,7265283,-57.26304117647059,2016,"['Biography', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
111,Chronicle,84.0,"Drama,Sci-Fi,Thriller",7.1,Josh Trank,John Davis,Matthew Jensen,Max Landis,12000000,64575175,59106615,123681790,930.6815833333334,2012,"['Drama', 'Sci-Fi', 'Thriller']",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
112,Killer Joe,102.0,"Crime,Drama,Thriller",6.7,William Friedkin,Nicolas Chartier,Caleb Deschanel,Tracy Letts,10000000,1291645,3367465,4659110,-53.4089,2012,"['Crime', 'Drama', 'Thriller']",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
113,Darling Companion,103.0,"Comedy,Drama,Romance",5.1,Lawrence Kasdan,Elizabeth Redleaf,Michael McDonough,Meg Kasdan,12000000,793352,406994,1200346,-89.99711666666667,2012,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
114,I Don't Know How She Does It,89.0,"Comedy,Romance",4.9,Douglas McGrath,Donna Gigliotti,Stuart Dryburgh,Aline Brosh McKenna,24000000,9659074,14815389,24474463,1.9769291666666668,2011,"['Comedy', 'Romance']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,August,99.0,"Drama,Romance",5.9,Eldar Rapaport,Alexander Brodzki,James Adolphus,Brian Sloan,3400000,12636,0,12636,-99.62835294117647,2008,"['Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,Like Crazy,86.0,"Drama,Romance",6.7,Drake Doremus,Jonathan Schwartz,John Guleserian,Ben York Jones,250000,3395391,333009,3728400,1391.3600000000001,2011,"['Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,Elysium,,Drama,6.0,Brandon Young,Gregory Andersen,David M. Clark,Danny Chadwick,120000000,93050117,193141974,286192091,138.49340916666665,2013,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,Kill List,95.0,"Crime,Drama,Horror",6.4,Ben Wheatley,Claire Jones,Laurie Rose,Amy Jump,800000,29063,433143,462206,-42.224250000000005,2012,"['Crime', 'Drama', 'Horror']",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,Zero Dark Thirty,157.0,"Drama,Thriller",7.4,Kathryn Bigelow,Megan Ellison,Greig Fraser,Mark Boal,52500000,95720716,38891719,134612435,156.4046380952381,2012,"['Drama', 'Thriller']",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
120,Inherent Vice,148.0,"Comedy,Crime,Drama",6.7,Paul Thomas Anderson,JoAnne Sellar,Robert Elswit,Thomas Pynchon,20000000,8110975,6661371,14772346,-26.138270000000002,2014,"['Comedy', 'Crime', 'Drama']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
121,This Is Martin Bonner,83.0,Drama,6.6,Chad Hartigan,Cherie Saulter,Sean McElwee,Tara Everhart,42000,0,0,0,-100.0,2013,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,After,90.0,"Drama,Fantasy,Mystery",5.5,Ryan Smith,Brandon Gregory,Blake McClure,Jason Parish,650000,0,0,0,-100.0,2012,"['Drama', 'Fantasy', 'Mystery']",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
123,Freaks of Nature,92.0,"Comedy,Horror,Sci-Fi",5.9,Robbie Pickering,Matt Tolmach,Uta Briesewitz,Oren Uziel,33000000,70958,0,70958,-99.78497575757575,2015,"['Comedy', 'Horror', 'Sci-Fi']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,Nebraska,115.0,"Adventure,Comedy,Drama",7.7,Alexander Payne,Albert Berger,Phedon Papamichael,Bob Nelson,12000000,17654912,7106448,24761360,106.34466666666667,2013,"['Adventure', 'Comedy', 'Drama']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
125,Chappie,120.0,"Action,Crime,Drama",6.8,Neill Blomkamp,Simon Kinberg,Trent Opaloch,Terri Tatchell,49000000,31569268,73432788,105002056,114.28991020408164,2015,"['Action', 'Crime', 'Drama']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,Hostel,111.0,"Action,Crime,Drama",5.1,Manish Gupta,Gurpal Sachar,Srikanth Naroj,Virag Mishra,4800000,47326473,34914637,82241110,1613.3564583333332,2006,"['Action', 'Crime', 'Drama']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,The Gambler,105.0,Drama,7.0,Szabolcs Hajdu,Andrea Taschler,András Nagy,Fyodor Dostoevsky,25000000,33680992,5037039,38718031,54.872124,2014,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,Wanted,160.0,"Action,Drama",4.5,B.V.S. Ravi,Venigalla Anand Prasad,Rasool Ellore,Saikrishna,75000000,134508551,207907909,342416460,356.55528,2008,"['Action', 'Drama']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,Truth or Dare,96.0,"Horror,Mystery",5.6,Robert Heath,Rupert Jermyn,James Friend,Matthew McGuchan,3500000,41411015,53716329,95127344,2617.9241142857145,2018,"['Horror', 'Mystery']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,The Face of Love,92.0,"Drama,Mystery,Romance",6.2,Arie Posin,Bonnie Curtis,Antonio Riestra,Matthew McDuffie,4000000,385069,773808,1158877,-71.028075,2014,"['Drama', 'Mystery', 'Romance']",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,Sisters,118.0,Comedy,6.0,Jason Moore,Jay Roach,Barry Peterson,Paula Pell,30000000,87044645,18986015,106030660,253.43553333333335,2015,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,Turbo,96.0,"Adventure,Animation,Comedy",6.4,David Soren,Lisa Stewart,Chris Stover,Darren Lemke,135000000,83028130,203868448,286896578,112.51598370370371,2013,"['Adventure', 'Animation', 'Comedy']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
133,Detention of the Dead,87.0,"Action,Adventure,Comedy",4.6,Alex Craig Mann,Brooke Anderson,Noah Rosenthal,Rob Rinow,500000,1778,0,1778,-99.6444,2013,"['Action', 'Adventure', 'Comedy']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
134,The Sessions,95.0,"Biography,Comedy,Drama",7.2,Ben Lewin,Stephen Nemeth,Geoffrey Simpson,Mark O'Brien,1000000,6002451,5492753,11495204,1049.5203999999999,2012,"['Biography', 'Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
135,Won't Back Down,121.0,Drama,6.4,Daniel Barnz,Mark Johnson,Roman Osin,Brin Hill,19000000,5310554,434949,5745503,-69.76051052631578,2012,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,Miss Bala,113.0,"Crime,Drama,Thriller",6.5,Gerardo Naranjo,Pablo Cruz,Mátyás Erdély,Mauricio Katz,15000000,14998027,364271,15362298,2.41532,2019,"['Crime', 'Drama', 'Thriller']",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
137,Sinister,110.0,"Horror,Mystery,Thriller",6.8,Scott Derrickson,Jason Blum,Christopher Norr,C. Robert Cargill,3000000,48086903,39640904,87727807,2824.2602333333334,2012,"['Horror', 'Mystery', 'Thriller']",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,Venom,92.0,Thriller,3.0,Gary Breslin,Wolf Schmidt,Polly Morgan,Joan Canning Boris,116000000,213511408,640117197,853628605,635.8867284482758,2018,['Thriller'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139,Morgan,89.0,"Drama,Romance",6.8,Michael D. Akers,Israel Ehrisman,Chris Brown,Sandon Berg,8000000,3915251,3383535,7298786,-8.765175,2016,"['Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,Drunk Wedding,81.0,Comedy,4.6,Nick Weiss,Couper Samuelson,Frederick Schroeder,Anthony Weiss,600000,3301,0,3301,-99.44983333333333,2015,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,Tomorrowland,130.0,"Action,Adventure,Family",6.4,Brad Bird,Jeffrey Chernov,Claudio Miranda,Damon Lindelof,170000000,93436322,113191196,206627518,21.54559882352941,2015,"['Action', 'Adventure', 'Family']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
142,Tag,91.0,Drama,4.6,Danny Roth,Randy Wayne,Joseph White,Ethan Banville,28000000,54730625,22295561,77026186,175.09352142857142,2018,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,Victor Frankenstein,110.0,"Drama,Horror,Sci-Fi",6.0,Paul McGuigan,John Davis,Fabian Wagner,Mary Shelley,40000000,5775076,25349291,31124367,-22.1890825,2015,"['Drama', 'Horror', 'Sci-Fi']",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,The Cottage,88.0,"Drama,Horror,Thriller",4.8,Chris Jaymes,Bettina Tendler O'Mara,Zoltan Honti,Nick Antosca,5000000,0,1504960,1504960,-69.90079999999999,2008,"['Drama', 'Horror', 'Thriller']",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
145,Geostorm,109.0,"Action,Sci-Fi,Thriller",5.3,Dean Devlin,David Ellison,Roberto Schaefer,Paul Guyot,100000000,33700160,187095849,220796009,120.796009,2017,"['Action', 'Sci-Fi', 'Thriller']",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,No Good Deed,84.0,"Action,Crime,Drama",5.6,Sam Miller,Will Packer,Michael Barrett,Aimee Lagos,13200000,52543632,1779578,54323210,311.53946969696966,2014,"['Action', 'Crime', 'Drama']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,Mama,100.0,"Horror,Thriller",6.2,Andy Muschietti,J. Miles Dale,Antonio Riestra,Barbara Muschietti,15000000,71628180,76467386,148095566,887.3037733333333,2013,"['Horror', 'Thriller']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148,Straight A's,91.0,"Comedy,Drama",5.7,James Cox,Holly Wiersma,Shawn Kim,Dave Cole,2000000,0,0,0,-100.0,2013,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
149,USS Indianapolis: Men of Courage,128.0,"Action,Drama,History",5.2,Mario Van Peebles,Michael Mendelsohn,Andrzej Sekula,Cam Cannon,40000000,0,1663785,1663785,-95.8405375,2016,"['Action', 'Drama', 'History']",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
150,"Pink Ribbons, Inc.",97.0,Documentary,7.3,Léa Pool,Ravida Din,Nathalie Moliavko-Visotzky,Patricia Kearns,1200000,26608,0,26608,-97.78266666666666,2012,['Documentary'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,AWOL-72,82.0,"Action,Thriller",3.8,Christian Sesma,Malik Barnhardt,Germano Saracco,Cecil Chambers,3000000,0,0,0,-100.0,2015,"['Action', 'Thriller']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,Stranded,88.0,"Drama,Thriller",4.8,Daniel Petrie Jr.,Rick Dugdale,Edd Lukas,Rachel Long,1900000,0,285593,285593,-84.96878947368421,2013,"['Drama', 'Thriller']",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
153,Trouble with the Curve,111.0,"Drama,Sport",6.8,Robert Lorenz,Michele Weisler,Tom Stern,Randy Brown,60000000,35763137,12055776,47818913,-20.301811666666666,2012,"['Drama', 'Sport']",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
154,Down and Dangerous,95.0,"Crime,Thriller",5.2,Zak Forsman,Kevin K. Shah,Sam Krueger,Julie Keck,50000,0,0,0,-100.0,2014,"['Crime', 'Thriller']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,Promised Land,106.0,Drama,6.6,Gus Van Sant,Chris Moore,Linus Sandgren,Dave Eggers,15000000,7597898,4796664,12394562,-17.369586666666667,2013,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
156,Grace of Monaco,103.0,"Biography,Drama,Romance",5.7,Olivier Dahan,Pierre-Ange Le Pogam,Eric Gautier,Arash Amel,30000000,0,25199891,25199891,-16.000363333333333,2015,"['Biography', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
157,Dead Man Down,118.0,"Action,Crime,Drama",6.5,Niels Arden Oplev,Neal H. Moritz,Paul Cameron,J.H. Wyman,30000000,10895295,8704679,19599974,-34.66675333333333,2013,"['Action', 'Crime', 'Drama']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
158,Into the Storm,89.0,"Action,Adventure,Drama",5.8,Steven Quale,Todd Garner,Brian Pearson,John Swetnam,50000000,47602194,102827177,150429371,200.858742,2014,"['Action', 'Adventure', 'Drama']",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
159,Jagten,115.0,Drama,8.3,Thomas Vinterberg,Sisse Graum Jørgensen,Charlotte Bruus Christensen,Tobias Lindholm,3450000,687185,17622608,18309793,430.7186376811594,2013,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,Home Again,104.0,Drama,6.6,Sudz Sutherland,Don Carmody,Arthur E. Cooper,Jennifer Holness,15000000,27020284,10316590,37336874,148.91249333333334,2017,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
161,Second Act,103.0,"Comedy,Drama,Romance",5.8,Peter Segal,Benny Medina,Ueli Steiger,Justin Zackham,15700000,39282227,24006627,63288854,303.11371974522297,2018,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
162,The Mule,103.0,"Comedy,Crime,Drama",6.3,Tony Mahony,Jane Liscombe,Stefan Duscio,Jaime Browne,50000000,103804407,67053269,170857676,241.715352,2018,"['Comedy', 'Crime', 'Drama']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
163,The Accountant,128.0,"Action,Crime,Drama",7.3,Gavin O'Connor,Lynette Howell Taylor,Seamus McGarvey,Bill Dubuque,40000000,86260045,66702038,152962083,282.4052075,2016,"['Action', 'Crime', 'Drama']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
164,Food Chains,83.0,Documentary,7.2,Sanjay Rawal,Smriti Keshari,Forest Woodward,Erin Barnett,913000,0,176,176,-99.98072289156626,2014,['Documentary'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165,Fear Clinic,95.0,Horror,5.0,Robert Hall,Mark Benton Johnson,Joseph White,Aaron Drane,1000000,0,0,0,-100.0,2015,['Horror'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Khiladi 786,141.0,"Action,Comedy",4.4,Ashish R. Mohan,Sunil Lulla,Attar Singh Saini,Kushal Ved Bakshi,5600000,385422,14298341,14683763,162.21005357142857,2012,"['Action', 'Comedy']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,Metallica Through the Never,93.0,Music,7.2,Nimród Antal,Charlotte Huggins,Gyula Pados,Robert Trujillo,18000000,3419967,5662939,9082906,-49.53941111111111,2013,['Music'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
168,Yeh Jawaani Hai Deewani,160.0,"Comedy,Drama,Musical",7.1,Ayan Mukherjee,Hiroo Johar,Manikandan,Hussain Dalal,8300000,3827466,47000000,50827466,512.3791084337349,2013,"['Comedy', 'Drama', 'Musical']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
169,Into the Woods,125.0,"Adventure,Comedy,Drama",6.0,Rob Marshall,Marc Platt,Dion Beebe,James Lapine,56200000,128002372,85114029,213116401,279.21067793594307,2014,"['Adventure', 'Comedy', 'Drama']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
170,Crawl,95.0,Drama,6.0,Hervé Lasgouttes,Antonin Dedet,Emmanuelle Le Fur,Loïc Delafoulhouse,17000000,0,0,0,-100.0,2019,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171,Earth to Echo,91.0,"Adventure,Family,Sci-Fi",5.8,Dave Green,Ryan Kavanaugh,Maxime Alexandre,Henry Gayden,13000000,38934842,3239703,42174545,224.41957692307693,2014,"['Adventure', 'Family', 'Sci-Fi']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
172,Grown Ups 2,101.0,Comedy,5.4,Dennis Dugan,Jack Giarraputo,Theo van de Sande,Fred Wolf,80000000,133668525,113355283,247023808,208.77976,2013,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,The Other Woman,109.0,"Comedy,Romance",6.0,Nick Cassavetes,Julie Yorn,Robert Fraisse,Melissa Stack,40000000,83911193,111200000,195111193,387.7779825,2014,"['Comedy', 'Romance']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174,Before Midnight,109.0,"Drama,Romance",7.9,Richard Linklater,Christos V. Konstantakopoulos,Christos Voudouris,Kim Krizan,3000000,8110621,15141309,23251930,675.0643333333334,2013,"['Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,Wild Card,92.0,"Action,Crime,Drama",5.6,Simon West,Steven Chasman,Shelly Johnson,William Goldman,30000000,3200,4312589,4315789,-85.61403666666666,2015,"['Action', 'Crime', 'Drama']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,Kin,45.0,"Drama,Music",8.6,Rachel Lambert,Denis Deck,Joe Wehner,Nathan Gregorski,30000000,5718096,4378725,10096821,-66.34393,2018,"['Drama', 'Music']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
177,Valerian and the City of a Thousand Planets,137.0,"Action,Adventure,Fantasy",6.5,Luc Besson,Virginie Besson-Silla,Thierry Arbogast,Pierre Christin,180000000,40479370,174618986,215098356,19.499086666666667,2017,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
178,Zulu,110.0,"Crime,Drama,Thriller",6.7,Jérôme Salle,Richard Grandpierre,Denis Rouden,Caryl Ferey,16000000,0,1844228,1844228,-88.47357500000001,2013,"['Crime', 'Drama', 'Thriller']",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
179,Rush,110.0,"Crime,Thriller",3.8,Shamin Desai,Mohammed Fasih,Shiraz Bhattacharya,Sanjay Masoomm,38000000,26947624,71283215,98230839,158.50220789473684,2013,"['Crime', 'Thriller']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,Magic Mike XXL,115.0,"Comedy,Drama,Music",5.6,Gregory Jacobs,Nick Wechsler,Steven Soderbergh,Reid Carolin,14500000,66013057,57647540,123660597,752.8317034482758,2015,"['Comedy', 'Drama', 'Music']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
181,El rey de Najayo,101.0,"Crime,Drama",6.9,Fernando Baez Mella,Michael Toribio,Peyi Guzmán,Franklin Soto,500000,0,0,0,-100.0,2012,"['Crime', 'Drama']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
182,Silence,87.0,Drama,6.7,Pat Collins,Tina Moran,Richard Kendrick,Eoghan Mac Giolla Bhríde,46500000,7100177,16626449,23726626,-48.97499784946236,2016,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
