,title,runtime,genres,rating,director,producer,cinematographer,writer,budget,domestic,foreign,worldwide,ROI,year,genre_list,Crime,Romance,Mystery,Horror,Action,Western,Sci-Fi,History,Adventure,Thriller,Drama,Fantasy,Biography,Sport,Music,War,Animation,Family,Documentary,Musical,Comedy
21,The Belko Experiment,89.0,"Horror,Thriller",6.1,Greg McLean,Peter Safran,Luis David Sansans,James Gunn,5000000,10166820,1626122,11792942,135.85884,2017,"['Horror', 'Thriller']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Paddington,95.0,"Adventure,Comedy,Family",7.2,Paul King,David Heyman,Erik Wilson,Hamish McColl,55000000,76223578,182565519,258789097,370.5256309090909,2015,"['Adventure', 'Comedy', 'Family']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
23,Trance,83.0,Horror,4.6,Hans Rodionoff,Jordan Kessler,Andy Sparaco,John Fallon,16000000,2322593,20271459,22594052,41.212824999999995,2013,['Horror'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Free State of Jones,139.0,"Action,Biography,Drama",6.9,Gary Ross,Jon Kilik,Benoît Delhomme,Leonard Hartman,50000000,20810036,2427216,23237252,-53.525496,2016,"['Action', 'Biography', 'Drama']",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
25,Love Ranch,117.0,"Biography,Comedy,Drama",5.6,Taylor Hackford,Lou DiBella,Kieran McGuigan,Mark Jacobson,25000000,137885,8264,146149,-99.415404,2010,"['Biography', 'Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
26,Big Eyes,106.0,"Biography,Crime,Drama",7.0,Tim Burton,Lynette Howell Taylor,Bruno Delbonnel,Scott Alexander,10000000,14482031,12835841,27317872,173.17872,2014,"['Biography', 'Crime', 'Drama']",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
27,Morning Glory,107.0,"Comedy,Drama,Romance",6.5,Roger Michell,J.J. Abrams,Alwin H. Küchler,Aline Brosh McKenna,40000000,31011732,28783338,59795070,49.487674999999996,2010,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,The Ghost Writer,128.0,"Drama,Mystery,Thriller",7.2,Roman Polanski,Robert Benmussa,Pawel Edelman,Robert Harris,45000000,15541549,49990942,65532491,45.62775777777778,2010,"['Drama', 'Mystery', 'Thriller']",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
29,Frankenweenie,87.0,"Animation,Comedy,Family",7.0,Tim Burton,Allison Abbate,Peter Sorg,Leonard Ripps,39000000,35287788,45863000,81150788,108.07894358974359,2012,"['Animation', 'Comedy', 'Family']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
30,Beastly,86.0,"Drama,Fantasy,Romance",5.6,Daniel Barnz,Susan Cartsonis,Mandy Walker,Alex Flinn,17000000,27865571,10162659,38028230,123.6954705882353,2011,"['Drama', 'Fantasy', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
31,Blood Done Sign My Name,128.0,Drama,6.6,Jeb Stuart,Mel Efros,Steve Mason,Tim Tyson,10000000,109383,0,109383,-98.90617,2010,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,Hereafter,129.0,"Drama,Fantasy,Romance",6.5,Clint Eastwood,Robert Lorenz,Tom Stern,Peter Morgan,50000000,32746941,75913329,108660270,117.32054000000001,2010,"['Drama', 'Fantasy', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
33,"Fat, Sick & Nearly Dead",97.0,Documentary,7.6,Kurt Engfehr,Stacey Offman,Daniel Marracino,Robert Mac,2600000,0,0,0,-100.0,2011,['Documentary'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,Brighton Rock,111.0,"Crime,Drama,Thriller",5.7,Rowan Joffe,Paul Webster,John Mathieson,Graham Greene,11000000,229653,0,229653,-97.91224545454546,2011,"['Crime', 'Drama', 'Thriller']",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35,Your Highness,102.0,"Adventure,Comedy,Fantasy",5.5,David Gordon Green,Scott Stuber,Tim Orr,Ben Best,50000000,21596445,4525193,26121638,-47.756724,2011,"['Adventure', 'Comedy', 'Fantasy']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
36,Conviction,107.0,"Biography,Crime,Drama",7.2,Tony Goldwyn,Andrew S. Karsch,Adriano Goldman,Pamela Gray,12500000,6797696,5029284,11826980,-5.3841600000000005,2010,"['Biography', 'Crime', 'Drama']",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
37,Snatched,81.0,Comedy,5.5,Joe Cacaci,Jerry Daigle,George Gibson,Alan Donnes,42000000,45852178,11999999,57852177,37.743278571428576,2017,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,Sex and the City 2,146.0,"Comedy,Drama,Romance",4.4,Michael Patrick King,John P. Melfi,John Thomas,Darren Star,95000000,95347692,199333086,294680778,210.19029263157893,2010,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
39,Scream 4,111.0,"Horror,Mystery",6.2,Wes Craven,Iya Labunka,Peter Deming,Kevin Williamson,40000000,38180928,57808662,95989590,139.973975,2011,"['Horror', 'Mystery']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,The Roommate,91.0,"Drama,Thriller",4.9,Christian E. Christiansen,Doug Davison,Phil Parmet,Sonny Mallhi,16000000,37300107,15245600,52545707,228.41066875,2011,"['Drama', 'Thriller']",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41,A Very Harold & Kumar 3D Christmas,90.0,"Adventure,Comedy",6.3,Todd Strauss-Schulson,Greg Shapiro,Michael Barrett,Jon Hurwitz,20000000,35061031,1204714,36265745,81.328725,2011,"['Adventure', 'Comedy']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
42,Easy A,92.0,"Comedy,Drama,Romance",7.1,Will Gluck,Zanne Devine,Michael Grady,Bert V. Royal,8000000,58401464,17799257,76200721,852.5090125,2010,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
43,N-Secure,105.0,"Crime,Drama,Thriller",3.6,David M. Matthews,Valerie Enloe,Andy Dean,Julius Lewis,1600000,2595644,0,2595644,62.22775,2010,"['Crime', 'Drama', 'Thriller']",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
44,Warrior,140.0,"Drama,Sport",8.2,Gavin O'Connor,Greg O'Connor,Masanobu Takayanagi,Anthony Tambakis,25000000,13657115,10558270,24215385,-3.13846,2011,"['Drama', 'Sport']",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
45,50/50,100.0,"Comedy,Drama,Romance",7.7,Jonathan Levine,Evan Goldberg,Terry Stacey,Will Reiser,8000000,35016118,6318617,41334735,416.6841875,2011,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
46,Devil,80.0,"Horror,Mystery,Thriller",6.2,John Erick Dowdle,Sam Mercer,Tak Fujimoto,M. Night Shyamalan,10000000,33679655,29674459,63354114,533.54114,2010,"['Horror', 'Mystery', 'Thriller']",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,The Reef,94.0,"Adventure,Drama,Horror",5.8,Andrew Traucki,Michael Robertson,Daniel Ardilley,James M. Vernon,10000000,0,15037867,15037867,50.37867,2010,"['Adventure', 'Drama', 'Horror']",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
48,The Perfect Host,93.0,"Comedy,Crime,Thriller",6.8,Nick Tomnay,Mark Victor,John Brawley,Krishna Jones,1000000,48764,2823,51587,-94.84129999999999,2011,"['Comedy', 'Crime', 'Thriller']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
49,If I Stay,107.0,"Drama,Fantasy,Music",6.8,R.J. Cutler,Alison Greenspan,John de Borman,Shauna Cross,11000000,50474843,27881327,78356170,612.3288181818182,2014,"['Drama', 'Fantasy', 'Music']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
50,Made in Dagenham,113.0,"Biography,Comedy,Drama",7.2,Nigel Cole,Elizabeth Karlsen,John de Borman,William Ivory,8000000,1095369,14548827,15644196,95.55245,2010,"['Biography', 'Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
51,Grown Ups,102.0,Comedy,6.0,Dennis Dugan,Jack Giarraputo,Theo van de Sande,Fred Wolf,75000000,162001186,110222244,272223430,262.9645733333333,2010,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,The Other Guys,107.0,"Action,Comedy,Crime",6.7,Adam McKay,Jimmy Miller,Oliver Wood,Chris Henchy,100000000,119219978,51716492,170936470,70.93647,2010,"['Action', 'Comedy', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,Suicide Squad,123.0,"Action,Adventure,Fantasy",6.0,David Ayer,Charles Roven,Roman Vasyanov,John Ostrander,175000000,325100054,420959833,746059887,326.31993542857145,2016,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
54,Downsizing,135.0,"Drama,Sci-Fi",5.7,Alexander Payne,Mark Johnson,Phedon Papamichael,Jim Taylor,68000000,24449754,30013217,54462971,-19.907395588235293,2017,"['Drama', 'Sci-Fi']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,When the Bough Breaks,107.0,"Crime,Drama,Horror",5.1,Jon Cassar,Michael Lynne,David Moxness,Jack Olsen,10000000,29747603,1020846,30768449,207.68449,2016,"['Crime', 'Drama', 'Horror']",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,Winter's Bone,100.0,"Drama,Mystery",7.2,Debra Granik,Alix Madigan,Michael McDonough,Anne Rosellini,2000000,6531503,9600048,16131551,706.57755,2010,"['Drama', 'Mystery']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,True Grit,110.0,"Adventure,Drama,Western",7.6,Ethan Coen,Scott Rudin,Roger Deakins,Charles Portis,35000000,171243005,81033923,252276928,620.7912228571429,2010,"['Adventure', 'Drama', 'Western']",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
58,Remember Me,113.0,"Drama,Romance",7.1,Allen Coulter,Trevor Engelson,Jonathan Freeman,Will Fetters,16000000,19068240,37437880,56506120,253.16325,2010,"['Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,For Colored Girls,133.0,Drama,6.1,Tyler Perry,Roger M. Bobb,Alexander Gruszynski,Ntozake Shange,21000000,37729698,288175,38017873,81.03749047619047,2010,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,Tracker,102.0,"Action,Adventure,Drama",6.5,Ian Sharp,Trevor Haysom,Harvey Harrison,Nicolas van Pallandt,6500000,0,3149,3149,-99.95155384615386,2011,"['Action', 'Adventure', 'Drama']",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
61,You Again,105.0,"Comedy,Family,Romance",5.8,Andy Fickman,John J. Strauss,David Hennings,Moe Jelline,20000000,25702053,7136892,32838945,64.19472499999999,2010,"['Comedy', 'Family', 'Romance']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
62,Beneath Hill 60,122.0,"Drama,History,War",7.1,Jeremy Sims,Bill Leimbach,Toby Oliver,David Roach,9000000,0,3440939,3440939,-61.76734444444445,2014,"['Drama', 'History', 'War']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
63,A Lonely Place to Die,99.0,"Adventure,Crime,Thriller",6.3,Julian Gilbey,Michael Loveday,Ali Asad,Will Gilbey,4000000,0,442550,442550,-88.93625,2012,"['Adventure', 'Crime', 'Thriller']",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64,Barney's Version,134.0,"Comedy,Drama",7.3,Richard J. Lewis,Robert Lantos,Guy Dufaux,Mordecai Richler,30000000,7502560,1343015,8845575,-70.51475,2011,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
65,Stone,105.0,"Drama,Thriller",5.4,John Curran,Holly Wiersma,Maryse Alberti,Angus MacLachlan,22000000,1810078,2254942,4065020,-81.52263636363635,2010,"['Drama', 'Thriller']",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66,Deadline,95.0,"Drama,Mystery,Thriller",4.8,Curt Hahn,Molly M. Mayeux,Paul Marschall,Mark Ethridge,1800000,0,0,0,-100.0,2009,"['Drama', 'Mystery', 'Thriller']",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67,Mientras duermes,102.0,"Drama,Horror,Thriller",7.2,Jaume Balagueró,Julio Fernández,Pablo Rosso,Alberto Marini,5000000,0,9109597,9109597,82.19194,2012,"['Drama', 'Horror', 'Thriller']",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68,Quartet,94.0,"Comedy,Drama",6.8,Dustin Hoffman,Finola Dwyer,John de Borman,Ronald Harwood,11000000,18388357,37790578,56178935,410.7175909090909,2013,"['Comedy', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
69,My Girlfriend's Boyfriend,84.0,"Comedy,Romance",5.8,Daryn Tufts,Rick McFarland,Brandon Christensen,Benji Smith,1400000,0,0,0,-100.0,2010,"['Comedy', 'Romance']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,Gravity,91.0,"Drama,Sci-Fi,Thriller",7.7,Alfonso Cuarón,David Heyman,Emmanuel Lubezki,Jonás Cuarón,110000000,274092705,419605968,693698673,530.6351572727273,2013,"['Drama', 'Sci-Fi', 'Thriller']",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
71,Buried,95.0,"Drama,Mystery,Thriller",7.0,Rodrigo Cortés,Peter Safran,Eduard Grau,Chris Sparling,1987650,1044143,20226147,21270290,970.1225064774986,2010,"['Drama', 'Mystery', 'Thriller']",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72,The Odd Life of Timothy Green,105.0,"Comedy,Drama,Family",6.6,Peter Hedges,Jim Whitaker,John Toll,Ahmet Zappa,40000000,51853450,3395709,55249159,38.1228975,2012,"['Comedy', 'Drama', 'Family']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
73,Joy,75.0,Drama,6.1,Mijke de Jong,Frans van Gestel,Ton Peters,Helena van der Meulen,60000000,56451232,44682827,101134059,68.556765,2015,['Drama'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,MacGruber,90.0,"Action,Comedy,Romance",5.5,Jorma Taccone,John Goldwyn,Brandon Trost,John Solomon,10000000,8525600,104295,8629895,-13.70105,2010,"['Action', 'Comedy', 'Romance']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Max Steel,92.0,"Action,Adventure,Family",4.6,Stewart Hendler,Bill O'Dowd,Brett Pawlak,Christopher L. Yost,10000000,3818664,744416,4563080,-54.36919999999999,2016,"['Action', 'Adventure', 'Family']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
76,The Change-Up,112.0,"Comedy,Fantasy",6.3,David Dobkin,Neal H. Moritz,Eric Alan Edwards,Jon Lucas,52000000,37243418,38753649,75997067,46.14820576923077,2011,"['Comedy', 'Fantasy']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
77,Area 51,91.0,"Horror,Sci-Fi,Thriller",4.2,Oren Peli,Jason Blum,Todd Matthew Grossman,Christopher Denham,5000000,7556,0,7556,-99.84888,2015,"['Horror', 'Sci-Fi', 'Thriller']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
